initial_state,final_state,sum_A_if,lifetime,branching_ratio
"[0.0, 1.0]","[0, 0]",843.9887358659,0.0011848499363845638,1.0
"[0.0, 2.0]","[0, 1]",2239.7293345700004,0.00044648252115338184,0.6862818664385054
"[0.0, 2.0]","[0, 0]",1020.4585199999999,0.0009799516397785578,0.31268161153192553
"[0.0, 2.0]","[1, 0]",3.38276284,0.295616348913186,0.0010365220295691325
"[0.0, 3.0]","[0, 1]",1644.5432732999998,0.0006080715638411654,0.49262243145078455
"[0.0, 3.0]","[0, 2]",1635.6048530453,0.0006113946153547539,0.48994493041405995
"[0.0, 3.0]","[1, 1]",39.43208370000001,0.025360059782993407,0.011811868538117387
"[0.0, 3.0]","[0, 0]",18.764063999999998,0.05329335905057668,0.005620769597038085
"[0.0, 4.0]","[-1, -1]",642.63538787075,0.0015560923330308802,0.31240156790652185
"[0.0, 4.0]","[0, 2]",625.8099473,0.0015979292184702544,0.30422228908959265
"[0.0, 4.0]","[1, 1]",327.89581,0.0030497492480919476,0.1593985751288587
"[0.0, 4.0]","[0, 3]",326.013596,0.0030673567368644343,0.1584835825594581
"[0.0, 4.0]","[1, 2]",110.49064,0.009050540389665586,0.05371233801699289
"[0.0, 4.0]","[1, 0]",13.006205000000001,0.07688637846320275,0.0063226503102733695
"[0.0, 4.0]","[0, 1]",11.229599999999998,0.0890503668875116,0.005458996988302568
"[0.0, 5.0]","[-1, -1]",5732.760375299294,0.00017443603683640665,0.6067401882259367
"[0.0, 5.0]","[0, 3]",2041.5891093000002,0.0004898145250896592,0.21607638892320427
"[0.0, 5.0]","[0, 2]",744.7736486987,0.0013426898249518393,0.07882487217574921
"[0.0, 5.0]","[1, 2]",475.453357,0.0021032557353465064,0.05032072517138357
"[0.0, 5.0]","[1, 1]",254.115281036,0.003935221825004424,0.026894888910967255
"[0.0, 5.0]","[0, 1]",131.69590126872,0.007593250741794474,0.01393834569968327
"[0.0, 5.0]","[1, 0]",44.36233971,0.02254164245026471,0.004695192644325921
"[0.0, 5.0]","[0, 0]",13.16283748,0.0759714614359882,0.00139311988769209
"[0.0, 5.0]","[0, 4]",10.5471114,0.09481268966211924,0.0011162783610577528
"[1.0, 0.0]","[0, 1]",2.9233621180578,0.3420718883312246,0.9591127061404923
"[1.0, 0.0]","[0, 0]",0.12462390000000001,8.024143041583516,0.0408872938595077
"[1.0, 1.0]","[1, 0]",782.6079173559999,0.001277779048515696,0.767809380726051
"[1.0, 1.0]","[0, 1]",161.15627031,0.006205157255602908,0.15810892448530445
"[1.0, 1.0]","[-1, -1]",50.32945365,0.01986908117370354,0.04937776092253422
"[1.0, 1.0]","[0, 0]",18.672901644999996,0.0535535407946503,0.018319810891823697
"[1.0, 1.0]","[0, 2]",6.507168719828001,0.15367666692779902,0.00638412297428665
"[1.0, 2.0]","[1, 1]",1700.5145294106,0.0005880573101287179,0.5077857355327525
"[1.0, 2.0]","[1, 0]",736.6741239999999,0.001357452321754144,0.21997613394867024
"[1.0, 2.0]","[0, 2]",497.5293401170001,0.0020099317153131867,0.14856580026281843
"[1.0, 2.0]","[0, 1]",239.210215548,0.004180423472756495,0.07142987204648597
"[1.0, 2.0]","[0, 0]",93.8240852,0.010658244073132726,0.028016539282662047
"[1.0, 2.0]","[-1, -1]",75.8234460524684,0.013188532730469923,0.022641420380998156
"[1.0, 2.0]","[0, 3]",5.3062987203,0.18845527790856512,0.0015844985456125108
"[1.0, 4.0]","[-1, -1]",1643.3722333476353,0.0006085048656097515,0.6802268819712004
"[1.0, 4.0]","[0, 3]",338.8405427,0.0029512406987418035,0.1402533407642731
"[1.0, 4.0]","[1, 2]",272.57311300000003,0.003668740430755545,0.11282383564889656
"[1.0, 4.0]","[1, 1]",84.0797461,0.011893470739203387,0.034802403476190805
"[1.0, 4.0]","[0, 2]",42.496723618000004,0.02353122581846375,0.01759030194989853
"[1.0, 4.0]","[0, 5]",10.287867242199999,0.09720187639067511,0.004258368076500778
"[1.0, 4.0]","[2, 2]",7.82223269,0.127840738013126,0.003237789251150336
"[1.0, 4.0]","[1, 0]",7.80069,0.1281937879854218,0.0032288722714481043
"[1.0, 4.0]","[0, 1]",6.011323,0.16635273133717818,0.0024882150360312012
"[1.0, 4.0]","[0, 4]",2.63333,0.3797473161358432,0.0010899915544102428
"[2.0, 2.0]","[-1, -1]",1859.87352787887,0.000537670967950423,0.6935442968894292
"[2.0, 2.0]","[0, 2]",191.58495746,0.005219616473327686,0.07144176882162745
"[2.0, 2.0]","[0, 3]",191.244944252,0.005228896397294132,0.0713149783610178
"[2.0, 2.0]","[2, 1]",163.6689,0.0061098962600714,0.061031909144178706
"[2.0, 2.0]","[1, 0]",109.27346730000001,0.009151352333815805,0.04074792662578525
"[2.0, 2.0]","[1, 2]",81.70992095999999,0.012238415950610657,0.030469517863251618
"[2.0, 2.0]","[1, 1]",42.56908623500001,0.023491225404265476,0.01587395408318397
"[2.0, 2.0]","[0, 1]",36.5325245911,0.02737286872978985,0.013622928495587673
"[2.0, 2.0]","[0, 0]",5.2365966,0.1909637263256062,0.0019527197159381845
"[3.0, 1.0]","[-1, -1]",456.51682163132625,0.002190499785805439,0.8463986086283952
"[3.0, 1.0]","[1, 1]",32.141812540000004,0.03111212221636583,0.05959207661929431
"[3.0, 1.0]","[1, 0]",16.9019172203,0.05916488567338105,0.03133676250372056
"[3.0, 1.0]","[0, 3]",10.6244762,0.09412228717684924,0.01969816104684023
"[3.0, 1.0]","[1, 2]",8.508788814,0.11752553998691827,0.01577560053000304
"[3.0, 1.0]","[2, 2]",8.00681932,0.12489353887406067,0.014844931031829293
"[3.0, 1.0]","[0, 2]",4.5365864146,0.22043005656890413,0.008410994397794247
"[3.0, 1.0]","[0, 0]",1.39777587573,0.715422277178551,0.0025915267528687836
"[3.0, 1.0]","[0, 1]",0.7288631453,1.3719996770976808,0.0013513384892542663
