,iso_formula,molecule,isotopologue,iso_slug,truncate_E,life,headers
28,(52Cr)(1H),CrH,MoLLIST,52Cr-1H,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 's', 'par', 'eS']"
29,(28Si)(1H),SiH,SiGHTLY,28Si-1H,32000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
30,(27Al)(1H),AlH,AlHambra,27Al-1H,28000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
31,(23Na)(1H),NaH,Rivlin,23Na-1H,35000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'X/A', 'v']"
32,(24Mg)(1H),MgH,Yadin,24Mg-1H,10000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'v', 'N', 'e/f']"
33,(28Si)(16O),SiO,EBJT,28Si-16O,50000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
34,(49Ti)(16O),TiO,Toto,49Ti-16O,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
35,(24Mg)(16O),MgO,LiTY,24Mg-16O,37000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
36,(1H)3+,H3_p,MiZATeP,1H3_p,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i']"
37,(4He)(1H)+,HeH_p,ADJSAAM,4He-1H_p,,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v', 'q/qs']"
38,(1H)(2H)+,H2_p,ADJSAAM,1H-2H_p,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'q/qs']"
39,(12C)2,C2,8states,12C2,30000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
40,(12C)(14N),CN,MoLLIST,12C-14N,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'eS', 'v', 'F', 'kp']"
41,(12C)(1H),CH,MoLLIST,12C-1H,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'N', 'Omega', 'e/f', 'Eta']"
42,(7Li)(35Cl),LiCl,MoLLIST,7Li-35Cl,26802.501,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
43,(23Na)(35Cl),NaCl,Barton,23Na-35Cl,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
44,(14N)(1H),NH,MoLLIST,14N-1H,26860.17504,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v', 'eta', 'F', 'e/f', 'N']"
45,(32S)(16O)3,SO3,UYT2,32S-16O3,4000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'K', 'rotSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'n1', 'n2', 'n3', 'n4', 'L3', 'L4', 'vibSym']"
46,(89Y)(16O),YO,SSYT,89Y-16O,16000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
47,(51V)(16O),VO,VOMYT,51V-16O,16000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
48,(32S)(1H),SH,GYT,32S-1H,31000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
49,(27Al)(16O),AlO,ATP,27Al-16O,15000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
50,(45Sc)(1H),ScH,LYT,45Sc-1H,15000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
51,(39K)(35Cl),KCl,Barton,39K-35Cl,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
52,(40Ca)(16O),CaO,VBATHY,40Ca-16O,20000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State']"
53,(12C)(31P),CP,MoLLIST,12C-31P,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'eS', 'v', 'F', 'kp']"
54,(31P)(14N),PN,YYLT,31P-14N,15000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', 'v']"
55,(31P)(32S),PS,POPS,31P-32S,37000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
56,(31P)(16O),PO,POPS,31P-16O,49000.0,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
57,(28Si)(1H)4,SiH4,OY2T,28Si-1H4,6000.0,0.0,"['i', 'E_i', 'g_i', 'J_i', 'G', 'n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4', 'Gv', 'Ja', 'K', 'Pr', 'Gr', 'N(Bl)', 'C2', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9']"
58,(14N)(32S),NS,SNaSH,14N-32S,38916.600168,1.0,"['i', 'E_i', 'g_i', 'J_i', 'tau_i', '+/-', 'e/f', 'State', 'v', 'Lambda', 'Sigma', 'Omega']"
59,(12C)(1H)3(19F),CH3F,OYKYT,12C-1H3-19F,,0.0,"['i', 'E_i', 'g_i', 'J_i', 'totalSym', 'v1', 'v2', 'v3', 'v4', 'v5', 'v6', 'v7', 'v8', 'v9', 'VibSym', 'K', 'rotSym', 'Coeff']"
60,(28Si)(32S),SiS,UCTY,28Si-32S,36686.46,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
61,(7Li)(19F),LiF,MoLLIST,7Li-19F,40469.466,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
62,(23Na)(19F),NaF,MoLLIST,23Na-19F,5764.7339,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
63,(39K)(19F),KF,MoLLIST,39K-19F,5230.2357,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
64,(27Al)(35Cl),AlCl,MoLLIST,27Al-35Cl,13426.18235,0.0,"['i', 'E_i', 'g_i', 'J_i', 'v']"
