initial_state,final_state,sum_A_if,lifetime,branching_ratio
[1],[0],16.9976,0.058831835082599905,1.0
[2],[1],29.723,0.0336439794098846,0.9402534315628174
[2],[0],1.88869,0.5294675145206466,0.059746568437182575
[3],[2],38.879000000000005,0.02572082615293603,0.8833199324860848
[3],[1],4.8502,0.20617706486330462,0.1101951782850384
[3],[0],0.28542999999999996,3.5034859685386963,0.006484889228876851
[4],[3],45.045,0.0222000222000222,0.8287358684390226
[4],[2],8.3018,0.12045580476523164,0.15273614014001724
[4],[1],0.95143,1.0510494728986894,0.017504366018624467
[4],[0],0.055638,17.973327581868507,0.0010236254023356717
[5],[4],48.711,0.02052924390794687,0.7762498864572593
[5],[3],11.830100000000002,0.08453013922113929,0.18852238266054946
[5],[2],1.98496,0.5037884894405933,0.03163197172347522
[5],[1],0.22564,4.431838326537847,0.003595759158716019
[6],[5],50.289,0.0198850643281831,0.7256787446215154
[6],[4],15.1441,0.0660323162155559,0.21853191505941044
[6],[3],3.3156,0.30160453613222343,0.047844666739587115
[6],[2],0.5505599999999999,1.816332461493752,0.007944673579486994
[7],[6],50.128,0.01994893073731248,0.6752340807214271
[7],[5],18.0432,0.055422541456061014,0.24304547488973932
[7],[4],4.8456,0.2063727918111276,0.06527119098196113
[7],[3],1.04711,0.9550095023445483,0.014104778931220347
[7],[2],0.174049,5.745508448770174,0.0023444744756520044
[8],[7],48.531,0.020605386247965218,0.6264649593470958
[8],[6],20.39,0.04904364884747425,0.2632053846219382
[8],[5],6.468299999999999,0.15460012677210397,0.08349638986513402
[8],[4],1.7093099999999999,0.585031386933909,0.022064717802262147
[8],[3],0.36941,2.7070193010476165,0.0047685483635698965
[9],[8],45.762,0.021852191774835016,0.5774300556899126
[9],[7],22.0934,0.04526238605194312,0.27877700258685184
[9],[6],8.0769,0.1238098775520311,0.10191523134482441
[9],[5],2.512,0.3980891719745223,0.031696698131485956
[9],[4],0.6631900000000001,1.507863508195238,0.00836820590518319
[9],[3],0.143667,6.960540694801173,0.001812806341742115
[10],[9],42.058,0.023776689333777166,0.5291611076525418
[10],[8],23.0975,0.043294728866760473,0.2906057987542105
[10],[7],9.569700000000001,0.1044964836933237,0.12040308744834585
[10],[6],3.4152,0.2928086202857812,0.042969019326999876
[10],[5],1.0598,0.9435742592942064,0.013334084880169381
[10],[4],0.28032,3.567351598173516,0.0035269019377326674
[11],[10],37.638999999999996,0.02656818725258376,0.4801531877341941
[11],[9],23.3692,0.04279136641391233,0.2981162059246507
[11],[8],10.851700000000001,0.09215146013988591,0.13843296440753353
[11],[7],4.366899999999999,0.22899539719251646,0.05570766905381259
[11],[6],1.5524900000000001,0.6441265322159885,0.019804804124059064
[11],[5],0.4824,2.0729684908789388,0.0061538802243145466
[11],[4],0.127876,7.820075698332761,0.0016312885314354207
[12],[11],32.708,0.030573559985324694,0.43117915132532086
[12],[10],22.8965,0.04367479745812679,0.30183727034120733
[12],[9],11.834,0.08450228156160217,0.1560038546161137
[12],[8],5.3056,0.1884800965018094,0.0699420357487961
[12],[7],2.1228,0.47107593744111553,0.027984196601241015
[12],[6],0.75512,1.3242928276300456,0.009954506565634595
[12],[5],0.23508,4.253871022630594,0.003098984801686329
[13],[12],27.4709,0.03640215646374891,0.3810014993242334
[13],[11],21.6888,0.04610674633912434,0.3008079574583808
[13],[10],12.4329,0.08043175767520047,0.17243532395910804
[13],[9],6.1614,0.1623007757977083,0.08545415832522166
[13],[8],2.7398,0.36499014526607787,0.03799904290898859
[13],[7],1.09584,0.9125419769309389,0.015198507621500129
[13],[6],0.39041000000000003,2.5614097999538945,0.005414704117854674
[13],[5],0.12176599999999999,8.212473104150584,0.0016888062847127178
[14],[13],22.1344,0.04517854561225965,0.33040449338408084
[14],[12],19.7729,0.05057427084545008,0.29515392363172677
[14],[11],12.5699,0.07955512772575755,0.1876333418293949
[14],[10],6.8545,0.1458895616018674,0.10231845452784726
[14],[9],3.3586,0.2977431072470672,0.050134475363225295
[14],[8],1.4913500000000002,0.6705334093271197,0.022261671480064922
[14],[7],0.59711,1.6747332987221784,0.008913177092876633
[14],[6],0.213065,4.6934034214910945,0.00318046269078354
[15],[13],17.2099,0.05810609009930331,0.28337666749243207
[15],[14],16.9085,0.05914185173137771,0.2784138421661827
[15],[12],12.1721,0.08215509238340138,0.20042470522110137
[15],[11],7.2951,0.13707831284012556,0.12012046130564623
[15],[10],3.9184,0.25520620661494486,0.06452002242327648
[15],[9],1.9144,0.5223568742164647,0.03152233843587191
[15],[8],0.8504,1.1759172154280337,0.01400261001142158
[15],[7],0.34091,2.9333255111319705,0.0056133934371986475
[15],[6],0.12182499999999999,8.208495793145907,0.0020059595068690423
[16],[14],14.0992,0.07092600998638221,0.2647948427808792
[16],[15],12.0205,0.08319121500769519,0.22575510721512984
[16],[13],11.1782,0.0894598414771609,0.2099360042820319
[16],[12],7.3819,0.13546647881981605,0.1386382950751938
[16],[11],4.3376,0.23054223533751383,0.08146377879924689
[16],[10],2.3184,0.4313319530710835,0.04354150331247095
[16],[9],1.1322299999999998,0.8832127747895747,0.021264232356573057
[16],[8],0.50339,1.986531317666223,0.009454087884948564
[16],[7],0.202044,4.949416958682267,0.003794556373043858
[16],[6],0.072286,13.833937415267133,0.0013575919204819164
[17],[15],10.6115,0.094237383970221,0.23826996715909424
[17],[14],9.5557,0.10464958087842859,0.21456309901353784
[17],[16],7.7096,0.12970841548199646,0.17311088336330896
[17],[13],7.002700000000001,0.14280206206177615,0.15723819431984068
[17],[12],4.509,0.22177866489243733,0.10124480817229949
[17],[11],2.63,0.3802281368821293,0.05905385794924543
[17],[10],1.40365,0.7124283119011149,0.03151747061234158
[17],[9],0.68573,1.4582999139603052,0.015397339167884435
[17],[8],0.30514,3.277184243298158,0.006851594758415495
[17],[7],0.122597,8.156806447139816,0.002752785484031803
[18],[15],7.3284,0.13645543365536816,0.21098619549602457
[18],[16],7.009,0.14267370523612496,0.20179060152715958
[18],[14],6.0432,0.16547524490336246,0.1739850140032716
[18],[13],4.2928,0.2329481923220276,0.12359062551516486
[18],[17],4.2117,0.23743381532397842,0.12125573925694651
[18],[12],2.7354000000000003,0.36557724647217954,0.07875274809778746
[18],[11],1.5908799999999998,0.6285829226591573,0.04580177374197854
[18],[10],0.8487600000000001,1.178189358593713,0.024435981017576255
[18],[9],0.41486,2.4104517186520753,0.011943907682915882
[18],[8],0.18474200000000002,5.4129542821881325,0.005318761493412829
[18],[7],0.07428399999999999,13.461849119595069,0.0021386521677619515
[19],[16],4.6528,0.21492434662998625,0.19514789390175413
[19],[15],4.4284,0.22581519284617468,0.18573610156347317
[19],[17],3.6917999999999997,0.27087057803781356,0.1548415996188308
[19],[14],3.5218,0.2839457095803283,0.14771145390801188
[19],[13],2.4677,0.40523564452729266,0.10350035629757537
[19],[18],1.73491,0.5763987757290003,0.07276565350092251
[19],[12],1.5651899999999999,0.6389000696401076,0.06564725155950965
[19],[11],0.90925,1.0998075336816058,0.03813579404448288
[19],[10],0.48513,2.0613031558551316,0.020347338756997502
[19],[9],0.23723,4.2153184673102055,0.009949908629279818
[19],[8],0.105695,9.461185486541464,0.004433063240617672
[19],[7],0.042525,23.515579071134628,0.0017835849785445526
[20],[16],2.2466,0.44511706578830235,0.1857860552093042
[20],[15],2.06011,0.48541097320046017,0.17036397676366047
[20],[17],1.95126,0.5124893658456587,0.1613624579754771
[20],[14],1.61342,0.6198014156264333,0.13342425763188623
[20],[18],1.19238,0.8386588168201412,0.0986057048475341
