initial_state,final_state,sum_A_if,lifetime,branching_ratio
[1],[0],6.6754999999999995,0.14980151299528127,1.0
[2],[1],12.8293,0.07794657541720905,0.9804068413664087
[2],[0],0.25639,3.900308124341823,0.019593158633591352
[3],[2],18.4777,0.054119289738441476,0.9606665193599958
[3],[1],0.7565500000000001,1.3217897032582115,0.039333480640004165
[4],[3],23.638999999999996,0.042302973899065115,0.9407654827934911
[4],[2],1.48841,0.6718578886193992,0.059234517206508755
[5],[4],28.333,0.035294532876857375,0.9196148594675101
[5],[3],2.4392,0.409970482125287,0.07917003371380195
[5],[2],0.037437,26.71154205732297,0.001215106818687932
[6],[5],32.575,0.03069838833461243,0.8987670957158677
[6],[4],3.5937,0.27826474107465843,0.099152703357609
[6],[3],0.075395,13.263479010544465,0.002080200926523341
[7],[6],36.388,0.027481587336484557,0.8776766932167805
[7],[5],4.9388000000000005,0.20247833481817443,0.11912360262886217
[7],[4],0.132658,7.538180886188545,0.003199704154357252
[8],[7],39.785,0.025135101168782207,0.8563508797910232
[8],[6],6.4602,0.1547939692269589,0.1390523552501186
[8],[5],0.21356,4.682524817381532,0.004596764958858136
[9],[8],42.787000000000006,0.023371584827167127,0.8348454871476683
[9],[7],8.1425,0.12281240405280933,0.15887370881575916
[9],[6],0.32189999999999996,3.106554830692762,0.006280804036572658
[10],[9],45.412000000000006,0.022020611292169468,0.8131708901581827
[10],[8],9.972100000000001,0.10027978058784007,0.17856560895240053
[10],[7],0.46148,2.1669411458784777,0.008263500889416853
[11],[10],47.675,0.02097535395909806,0.7913393694780531
[11],[9],11.9348,0.0837885846432282,0.19810125027470724
[11],[8],0.6361600000000001,1.5719315895372232,0.010559380247239817
[12],[11],49.595,0.020163322915616493,0.7693903192562597
[12],[10],14.016,0.07134703196347032,0.21743673182167025
[12],[9],0.8491299999999999,1.1776759742324499,0.013172948922070124
[13],[12],51.189,0.019535447068706167,0.7473522059876652
[13],[11],16.2012,0.061723822926696786,0.2365352431117498
[13],[10],1.1036100000000002,0.9061171971982854,0.016112550900585033
[14],[13],52.476,0.01905633051299642,0.7252674351107057
[14],[12],18.4747,0.054128077857827195,0.25533764546535087
[14],[11],1.4033,0.7126060001425212,0.01939491942394339
[15],[14],53.471000000000004,0.018701726169325427,0.7031658176539846
[15],[13],20.82,0.04803073967339097,0.2737916314180763
[15],[12],1.75223,0.5707013348704223,0.02304255092793928
[16],[15],54.193,0.018452567674791948,0.6802741155843378
[16],[14],23.223,0.04306075873056883,0.29151377089688846
[16],[13],2.1531000000000002,0.4644466118619664,0.027027442626624064
[16],[12],0.094375,10.596026490066226,0.0011846708921497589
[17],[16],54.656,0.018296252927400468,0.6580258238054472
[17],[15],25.67,0.03895597974289053,0.30905157525405863
[17],[14],2.6078,0.38346498964644526,0.03139636532713417
[17],[13],0.12677,7.888301648655045,0.0015262356133602265
[18],[17],54.879,0.018221906375845042,0.6358185401066884
[18],[16],28.147,0.0355277649483071,0.32610624188456344
[18],[15],3.1189,0.32062586168200324,0.03613503243023288
[18],[14],0.167462,5.971503982993156,0.0019401855785153928
[19],[18],54.876,0.018222902543917195,0.6136831343601047
[19],[17],30.639000000000003,0.03263814093149254,0.34263863170893016
[19],[16],3.6879999999999997,0.27114967462039047,0.04124322836066889
[19],[15],0.21774,4.592633416000735,0.0024350055702961077
[20],[19],54.666,0.018292906011048916,0.5916780620200179
[20],[18],33.129,0.03018503426001389,0.35857210179382387
[20],[17],4.3176000000000005,0.2316101537891421,0.04673159185924761
[20],[16],0.27886,3.5860288316718067,0.0030182443269107344
[21],[20],54.263000000000005,0.018428763614249118,0.5698145411865663
[21],[19],35.604,0.028086731827884508,0.3738768023221441
[21],[18],5.0104,0.19958486348395338,0.052614097583273525
[21],[17],0.35183,2.842281783816048,0.0036945589080159516
[22],[21],53.68,0.018628912071535022,0.5481202731901693
[22],[20],38.05,0.02628120893561104,0.38852415042634014
[22],[19],5.7664,0.17341842397336293,0.058880043653572876
[22],[18],0.43831,2.281490269444001,0.004475532729917717
[23],[22],52.934,0.01889144972985227,0.5266232559472196
[23],[21],40.456999999999994,0.024717601403959764,0.4024936159341191
[23],[20],6.584199999999999,0.15187874001397286,0.06550407756465944
[23],[19],0.54068,1.849522823111637,0.005379050554002016
[24],[23],52.039,0.019216356963046945,0.5053631775252402
[24],[22],42.81,0.023359028264424198,0.41573815080719334
[24],[21],7.463699999999999,0.13398180527084422,0.07248177613126953
[24],[20],0.66077,1.5133858982702,0.006416895536296873
[25],[24],51.009,0.01960438354015958,0.48435431768416937
[25],[23],45.099000000000004,0.02217344065278609,0.428236102908082
[25],[22],8.4049,0.11897821508881724,0.07980845742327186
[25],[21],0.8005,1.2492192379762648,0.007601121984476809
[26],[25],49.858,0.020056961771430865,0.4636471973839057
[26],[24],47.307,0.02113852072631957,0.43992454504072426
[26],[23],9.407900000000001,0.10629364682872904,0.0874873935630801
[26],[22],0.9614499999999999,1.04009568880337,0.008940864012290026
[27],[25],49.422,0.020233903929424143,0.4507605524046765
[27],[26],48.601,0.020575708318758875,0.44327250227468906
[27],[24],10.4741,0.09547359677681137,0.09553055525761447
[27],[23],1.14426,0.8739272542953525,0.010436390063020015
[28],[26],51.436,0.019441636208103272,0.4607467687888942
[28],[27],47.249,0.021164469089292894,0.4232410000487297
[28],[25],11.6007,0.0862016947253183,0.10391525469883593
[28],[24],1.35046,0.740488426165899,0.012096976463540129
[29],[27],53.337,0.018748711026116954,0.4693504857879165
[29],[28],45.816,0.02182643617950061,0.4031678170286889
[29],[26],12.7842,0.07822155473162185,0.11249733731574482
[29],[25],1.58353,0.6315005083579092,0.013934615271945167
[29],[24],0.11929299999999998,8.382721534373351,0.001049744595704631
[30],[28],55.117,0.01814322259919807,0.47742228795239744
[30],[29],44.312,0.02256725040621051,0.38382960654147785
[30],[27],14.0226,0.07131345114315461,0.12146346453982056
[30],[26],1.84525,0.5419319875355643,0.015983516462147095
[30],[25],0.15021099999999998,6.657302061766449,0.0013011245041569311
[31],[29],56.766999999999996,0.01761586837423151,0.4845564996916113
[31],[30],42.748999999999995,0.023392360055205973,0.3649004845300384
[31],[28],15.3118,0.06530910800820282,0.130699741257738
[31],[27],2.1374,0.4678581454103116,0.018244597432326
[31],[26],0.18728899999999998,5.339341872720769,0.0015986770882861906
[32],[30],58.28,0.017158544955387784,0.4907472502618147
[32],[31],41.137,0.024309016214113816,0.34639446866884477
[32],[29],16.647,0.06007088364269839,0.1401762092503162
[32],[28],2.4624,0.4061078622482131,0.020734660759174548
[32],[27],0.23127000000000003,4.323950361049855,0.001947411059849861
[33],[31],59.649,0.016764740397994936,0.49596775199367416
[33],[32],39.489000000000004,0.025323507812302158,0.32834197653738034
[33],[30],18.0243,0.05548065666905234,0.1498679198688927
[33],[29],2.8227,0.3542707336946895,0.023470102995063524
[33],[28],0.28290000000000004,3.5348179568752203,0.0023522486049893615
[34],[32],60.868,0.016428993888414272,0.5002289195727591
[34],[33],37.811,0.026447330142022163,0.3107405480378128
[34],[31],19.438299999999998,0.05144482799421761,0.15974896180802983
[34],[30],3.2194000000000003,0.31061688513387586,0.026457859362432484
[34],[29],0.34358999999999995,2.91044558921971,0.0028237112189657
[35],[33],61.931,0.01614700230902133,0.503507708307808
[35],[34],36.115,0.027689325764917623,0.29362001074641925
[35],[32],20.884,0.04788354721317755,0.1697898464468564
[35],[31],3.6547,0.27362026978958603,0.02971322312819987
[35],[30],0.41440999999999995,2.413069182693468,0.003369211370716422
[36],[34],62.835,0.015914697222885334,0.5058210271817523
[36],[35],34.408,0.029063008602650545,0.2769840041898581
[36],[33],22.354999999999997,0.04473272198613286,0.17995749284074275
[36],[32],4.1291,0.24218352667651544,0.03323920750117249
[36],[31],0.49668,2.013368768623661,0.003998268286474619
[37],[35],63.57899999999999,0.015728463800940565,0.5071836458063438
[37],[36],32.698,0.03058291026974127,0.2608391269220313
[37],[34],23.843,0.04194103091053978,0.19020084724454073
[37],[33],4.6449,0.21528988783396844,0.03705338738271892
[37],[32],0.59206,1.6890180049319325,0.004722992644365339
[38],[36],64.17,0.015583606046439146,0.5076740104688283
[38],[37],30.988,0.032270556344391375,0.2451582084526734
[38],[35],25.335,0.03947108742845865,0.20043511072507036
[38],[34],5.206,0.1920860545524395,0.0411867056023176
[38],[33],0.7010100000000001,1.4265131738491603,0.005545964751110385
[39],[37],64.611,0.015477240717524878,0.5073326134519819
[39],[38],29.286,0.03414600833162603,0.22995686365409512
