"['n1', 'n2', 'n3', 'n4', 'l3', 'l4']",lifetime_i
"[0, 0, 2, 7, 0, 7]",0.39300380920468536
"[0, 0, 2, 7, 2, 1]",0.44346445325033496
"[0, 0, 2, 7, 2, 3]",0.4678582092148497
"[0, 0, 2, 7, 2, 5]",0.40492288752260536
"[0, 0, 2, 7, 2, 7]",0.4564600738429158
"[0, 0, 2, 8, 0, 0]",1.3496653621075323
"[0, 0, 2, 8, 0, 2]",1.249518684880882
"[0, 0, 2, 8, 0, 6]",1.2724105182117744
"[0, 0, 2, 8, 0, 8]",0.9296963760961112
"[0, 0, 2, 8, 2, 0]",1.3659250617899492
"[0, 0, 2, 8, 2, 2]",1.3763682392776175
"[0, 0, 2, 8, 2, 4]",1.278709567008098
"[0, 0, 2, 8, 2, 8]",1.2463032472501296
"[0, 0, 2, 9, 0, 1]",3.6846871796774416
"[0, 0, 2, 9, 0, 3]",4.008344151832462
"[0, 0, 2, 9, 0, 5]",4.179787609192895
"[0, 0, 2, 9, 0, 9]",4.111790407290679
"[0, 0, 2, 9, 2, 1]",3.392296734390798
"[0, 0, 2, 9, 2, 3]",4.20829550777497
"[0, 0, 2, 9, 2, 5]",3.999948730060118
"[0, 0, 2, 9, 2, 7]",4.300389838307077
"[0, 0, 2, 9, 2, 9]",2.663586642598156
"[0, 0, 2, 10, 0, 4]",6.138347717554433
"[0, 0, 2, 10, 0, 10]",5.300230481742835
"[0, 0, 2, 10, 2, 6]",6.046260816201131
"[0, 0, 3, 0, 1, 0]",0.026377046610629888
"[0, 0, 3, 0, 3, 0]",0.029534164139851486
"[0, 0, 3, 1, 1, 1]",0.021132927945227906
"[0, 0, 3, 1, 3, 1]",0.02230374462233646
"[0, 0, 3, 2, 1, 0]",0.03035336599680167
"[0, 0, 3, 2, 1, 2]",0.028731549996104076
"[0, 0, 3, 2, 3, 0]",0.03215577228011505
"[0, 0, 3, 2, 3, 2]",0.03302451318623922
"[0, 0, 3, 3, 1, 1]",0.041695925696968346
"[0, 0, 3, 3, 1, 3]",0.04178471700535515
"[0, 0, 3, 3, 3, 1]",0.04497623262969571
"[0, 0, 3, 3, 3, 3]",0.04136436115122098
"[0, 0, 3, 4, 1, 0]",0.14047143221632194
"[0, 0, 3, 4, 1, 2]",0.13044121171815481
"[0, 0, 3, 4, 1, 4]",0.12677016469157157
"[0, 0, 3, 4, 3, 2]",0.1423693589472969
"[0, 0, 3, 5, 1, 1]",0.5465176231195865
"[0, 0, 3, 5, 1, 3]",0.42365032909753575
"[0, 0, 3, 5, 1, 5]",0.37964723026597347
"[0, 0, 3, 5, 3, 1]",0.5252432107586849
"[0, 0, 3, 5, 3, 3]",0.5131082526000961
"[0, 0, 3, 5, 3, 5]",0.4687341258254527
"[0, 0, 3, 6, 1, 0]",1.3859013415067343
"[0, 0, 3, 6, 1, 2]",1.2985558034900466
"[0, 0, 3, 6, 1, 4]",1.2032640755862538
"[0, 0, 3, 6, 1, 6]",1.2841677910889189
"[0, 0, 3, 6, 3, 0]",1.3886335831646306
"[0, 0, 3, 6, 3, 2]",1.4800591913039596
"[0, 0, 3, 6, 3, 4]",1.56746175345049
"[0, 0, 3, 6, 3, 6]",1.52161917780862
"[0, 0, 3, 7, 1, 1]",4.031375521318647
"[0, 0, 3, 7, 1, 3]",3.962771422775823
"[0, 0, 3, 7, 1, 5]",3.980188730651246
"[0, 0, 3, 7, 1, 7]",4.0904473877816665
"[0, 0, 3, 7, 3, 1]",4.392306271089065
"[0, 0, 3, 7, 3, 3]",4.198288448390005
"[0, 0, 3, 7, 3, 5]",4.196193391540163
"[0, 0, 3, 7, 3, 7]",4.578424135337542
"[0, 0, 3, 8, 1, 2]",5.395218034254493
"[0, 0, 3, 8, 1, 4]",5.575977693988978
"[0, 0, 4, 0, 0, 0]",0.027789033618087343
"[0, 0, 4, 0, 2, 0]",0.02816967560952314
"[0, 0, 4, 0, 4, 0]",0.0426430797293986
"[0, 0, 4, 1, 2, 1]",0.04317858528597925
"[0, 0, 4, 1, 4, 1]",0.0562522831033144
"[0, 0, 4, 2, 0, 2]",0.14396268383653535
"[0, 0, 4, 2, 2, 0]",0.14064258925049433
"[0, 0, 4, 2, 2, 2]",0.1320305331395395
"[0, 0, 4, 2, 4, 0]",0.150593471343823
"[0, 0, 4, 2, 4, 2]",0.1494429542702925
"[0, 0, 4, 3, 0, 1]",0.40238382119449534
"[0, 0, 4, 3, 0, 3]",0.49425624088212083
"[0, 0, 4, 3, 2, 1]",0.4760249219102447
"[0, 0, 4, 3, 2, 3]",0.46054439532902497
"[0, 0, 4, 3, 4, 1]",0.5406149944291583
"[0, 0, 4, 4, 0, 0]",1.2842515691849594
"[0, 0, 4, 4, 0, 2]",1.3418283549449597
"[0, 0, 4, 4, 0, 4]",1.4400374048458568
"[0, 0, 4, 4, 2, 0]",1.3373254797100118
"[0, 0, 4, 4, 2, 2]",1.3340279293532458
"[0, 0, 4, 4, 2, 4]",1.2373761455162167
"[0, 0, 4, 4, 4, 0]",1.398233151497037
"[0, 0, 4, 4, 4, 2]",1.496253667290705
"[0, 0, 4, 4, 4, 4]",1.5819843291570268
"[0, 0, 4, 5, 0, 1]",4.3798662539753215
"[0, 0, 4, 5, 0, 3]",3.8780282022981463
"[0, 0, 4, 5, 0, 5]",4.016311221521281
"[0, 0, 4, 5, 2, 1]",4.135897534953008
"[0, 0, 4, 5, 2, 3]",4.591316674558471
"[0, 0, 4, 5, 2, 5]",3.9705702669764618
"[0, 0, 4, 5, 4, 1]",4.328788480463427
"[0, 0, 4, 5, 4, 3]",4.204126498893997
"[0, 0, 4, 5, 4, 5]",4.101197621100427
"[0, 0, 4, 6, 0, 4]",5.532211335266471
"[0, 0, 4, 6, 0, 6]",6.1264995756743446
"[0, 0, 4, 6, 2, 0]",4.833698130536166
"[0, 0, 4, 6, 2, 4]",5.309501834901392
"[0, 0, 4, 6, 2, 6]",5.115099090226263
"[0, 0, 5, 0, 1, 0]",0.13348968207998166
"[0, 0, 5, 0, 3, 0]",0.13869544254586263
"[0, 0, 5, 0, 5, 0]",0.15008082496897382
"[0, 0, 5, 1, 1, 1]",0.4731467099311413
"[0, 0, 5, 1, 3, 1]",0.5093564623707976
"[0, 0, 5, 1, 5, 1]",0.5714813522933717
"[0, 0, 5, 2, 1, 0]",1.339707463523609
"[0, 0, 5, 2, 1, 2]",1.357304106794984
"[0, 0, 5, 2, 3, 0]",1.3514344622900891
"[0, 0, 5, 2, 3, 2]",1.4000933357219039
"[0, 0, 5, 2, 5, 0]",1.4697236064124237
"[0, 0, 5, 2, 5, 2]",1.5489834900596846
"[0, 0, 5, 3, 1, 1]",3.927699688392906
"[0, 0, 5, 3, 1, 3]",4.234024551096379
"[0, 0, 5, 3, 3, 1]",3.950434544994217
"[0, 0, 5, 3, 3, 3]",4.049269585623442
"[0, 0, 5, 3, 5, 1]",4.284301109991224
"[0, 0, 5, 3, 5, 3]",4.243165550997028
"[0, 0, 5, 4, 1, 0]",5.637106489829255
"[0, 0, 5, 4, 3, 0]",5.849182431004028
"[0, 0, 5, 4, 3, 2]",5.201827739973204
"[0, 0, 6, 0, 0, 0]",1.3136291931974866
"[0, 0, 6, 0, 2, 0]",1.4122487824465264
"[0, 0, 6, 0, 4, 0]",1.390579315830634
"[0, 0, 6, 0, 6, 0]",1.539867427442366
"[0, 0, 6, 1, 0, 1]",3.997322915985428
"[0, 0, 6, 1, 2, 1]",4.146476515734466
"[0, 0, 6, 1, 4, 1]",4.246322138669426
"[0, 0, 6, 1, 6, 1]",4.255266414908707
"[0, 0, 7, 0, 1, 0]",4.570306691523016
"[0, 1, 0, 0, 0, 0]",0.06511474041528026
"[0, 1, 0, 1, 0, 1]",0.04831386970663638
"[0, 1, 0, 2, 0, 0]",0.038217256148224556
"[0, 1, 0, 2, 0, 2]",0.03840340411825766
"[0, 1, 0, 3, 0, 1]",0.030026573222411916
"[0, 1, 0, 3, 0, 3]",0.031535837673720694
"[0, 1, 0, 4, 0, 0]",0.019057777580151387
"[0, 1, 0, 4, 0, 2]",0.020196116736680658
"[0, 1, 0, 4, 0, 4]",0.023726541816130122
"[0, 1, 0, 5, 0, 1]",0.019904196711161348
"[0, 1, 0, 5, 0, 3]",0.01963216033561273
"[0, 1, 0, 5, 0, 5]",0.019500944753285863
"[0, 1, 0, 6, 0, 0]",0.017693807530724328
"[0, 1, 0, 6, 0, 2]",0.017731659163939283
"[0, 1, 0, 6, 0, 4]",0.01698281516364322
"[0, 1, 0, 6, 0, 6]",0.01762113665967975
"[0, 1, 0, 7, 0, 1]",0.03469885533505193
"[0, 1, 0, 7, 0, 3]",0.030610263925673804
"[0, 1, 0, 7, 0, 5]",0.030174911166115984
"[0, 1, 0, 7, 0, 7]",0.026516818252096952
"[0, 1, 0, 8, 0, 0]",0.03715400646372389
"[0, 1, 0, 8, 0, 2]",0.04342042510833774
"[0, 1, 0, 8, 0, 4]",0.045510547746418877
"[0, 1, 0, 8, 0, 6]",0.05186097023409439
"[0, 1, 0, 8, 0, 8]",0.03142643962061774
"[0, 1, 0, 9, 0, 1]",0.0575463020256029
"[0, 1, 0, 9, 0, 3]",0.06651582687519629
"[0, 1, 0, 9, 0, 5]",0.06561424375002745
"[0, 1, 0, 9, 0, 7]",0.05721461768771369
"[0, 1, 0, 9, 0, 9]",0.10523108863687483
"[0, 1, 0, 10, 0, 6]",0.16794474157775943
"[0, 1, 0, 10, 0, 8]",0.15845415965714324
"[0, 1, 0, 10, 0, 10]",0.19521851903293988
"[0, 1, 0, 11, 0, 7]",0.858862940238443
"[0, 1, 0, 11, 0, 9]",0.6447837634603311
"[0, 1, 0, 11, 0, 11]",0.499114236720836
"[0, 1, 0, 12, 0, 0]",2.1766750620068427
"[0, 1, 0, 12, 0, 2]",1.8784330606944657
"[0, 1, 0, 12, 0, 4]",2.8684530942447273
"[0, 1, 0, 12, 0, 6]",1.5857865544053267
"[0, 1, 0, 12, 0, 10]",1.958766710936195
"[0, 1, 0, 12, 0, 12]",2.020531932254684
"[0, 1, 0, 13, 0, 1]",4.719316004471967
"[0, 1, 0, 13, 0, 3]",4.309801052642858
"[0, 1, 0, 13, 0, 5]",4.670490442257651
"[0, 1, 0, 13, 0, 9]",4.739805666201806
"[0, 1, 0, 13, 0, 11]",4.822220468373368
"[0, 1, 0, 13, 0, 13]",4.653863831166878
"[0, 1, 1, 0, 1, 0]",0.030414867857287232
"[0, 1, 1, 1, 1, 1]",0.022982256747961182
"[0, 1, 1, 2, 1, 0]",0.019415407779144314
"[0, 1, 1, 2, 1, 2]",0.01922886039883376
"[0, 1, 1, 3, 1, 1]",0.016180198353524213
"[0, 1, 1, 3, 1, 3]",0.016444825530645565
"[0, 1, 1, 4, 1, 0]",0.013515864474326764
"[0, 1, 1, 4, 1, 2]",0.013737681628261063
"[0, 1, 1, 4, 1, 4]",0.013911861463354108
"[0, 1, 1, 5, 1, 1]",0.02826141030925029
"[0, 1, 1, 5, 1, 3]",0.02415120008662849
"[0, 1, 1, 5, 1, 5]",0.025004810324355087
"[0, 1, 1, 6, 1, 2]",0.028765342456422704
"[0, 1, 1, 6, 1, 4]",0.02802864346578031
"[0, 1, 1, 6, 1, 6]",0.035730712419616714
"[0, 1, 1, 7, 1, 1]",0.0724669337172483
"[0, 1, 1, 7, 1, 3]",0.07726598560936192
"[0, 1, 1, 7, 1, 5]",0.09654391559455529
"[0, 1, 1, 7, 1, 7]",0.06346144980396887
"[0, 1, 1, 8, 1, 2]",0.2350650404935673
"[0, 1, 1, 8, 1, 4]",0.21625887601545457
"[0, 1, 1, 8, 1, 6]",0.25762331255975257
"[0, 1, 1, 8, 1, 8]",0.30211533504044097
"[0, 1, 1, 9, 1, 1]",0.8363383822601185
"[0, 1, 1, 9, 1, 3]",0.8391487491590788
"[0, 1, 1, 9, 1, 5]",0.883491589769474
"[0, 1, 1, 9, 1, 7]",0.7836579988222255
"[0, 1, 1, 9, 1, 9]",0.8137707094179358
"[0, 1, 1, 10, 1, 0]",2.596943027836147
"[0, 1, 1, 10, 1, 2]",2.362978922411212
"[0, 1, 1, 10, 1, 4]",1.9765674814739262
"[0, 1, 1, 10, 1, 8]",1.880571016241282
"[0, 1, 1, 10, 1, 10]",1.8695622618192171
"[0, 1, 1, 11, 1, 1]",5.662193690266301
"[0, 1, 1, 11, 1, 3]",4.5139377139343795
"[0, 1, 1, 11, 1, 7]",4.630578035138495
"[0, 1, 1, 11, 1, 9]",5.3104391528688115
"[0, 1, 1, 11, 1, 11]",4.9146695756091
"[0, 1, 2, 0, 0, 0]",0.023263706814497707
"[0, 1, 2, 0, 2, 0]",0.02183716735867822
"[0, 1, 2, 1, 0, 1]",0.017168855554115257
"[0, 1, 2, 1, 2, 1]",0.016472905558884064
"[0, 1, 2, 2, 0, 0]",0.015156397325383129
"[0, 1, 2, 2, 0, 2]",0.015367954389932527
"[0, 1, 2, 2, 2, 0]",0.015009586051258959
"[0, 1, 2, 2, 2, 2]",0.014511141639236476
"[0, 1, 2, 3, 0, 1]",0.022521764501147103
"[0, 1, 2, 3, 0, 3]",0.02314186250560001
"[0, 1, 2, 3, 2, 1]",0.023664333399098868
"[0, 1, 2, 3, 2, 3]",0.02281880682558816
"[0, 1, 2, 4, 0, 0]",0.027924704531831948
"[0, 1, 2, 4, 0, 2]",0.027301744327027738
"[0, 1, 2, 4, 2, 2]",0.02684696524870165
"[0, 1, 2, 4, 2, 4]",0.028858210129679873
"[0, 1, 2, 5, 0, 3]",0.11225639726511273
"[0, 1, 2, 5, 0, 5]",0.10787800306431644
"[0, 1, 2, 5, 2, 1]",0.10884186998179939
"[0, 1, 2, 5, 2, 5]",0.1151140561833614
"[0, 1, 2, 6, 0, 2]",0.2995500820393538
"[0, 1, 2, 6, 0, 4]",0.22567166712494902
"[0, 1, 2, 6, 0, 6]",0.20598216107482586
"[0, 1, 2, 6, 2, 0]",0.2883161962173604
"[0, 1, 2, 6, 2, 2]",0.32177542492355865
"[0, 1, 2, 6, 2, 4]",0.29762790319358623
"[0, 1, 2, 6, 2, 6]",0.2954423844430475
"[0, 1, 2, 7, 0, 1]",0.7699437517539942
"[0, 1, 2, 7, 0, 3]",1.0210353685646967
"[0, 1, 2, 7, 0, 5]",0.7459281813994137
"[0, 1, 2, 7, 2, 1]",0.9754434895076949
"[0, 1, 2, 7, 2, 5]",1.0507289096506447
"[0, 1, 2, 7, 2, 7]",1.027522508316912
"[0, 1, 2, 8, 0, 0]",2.4019850708134456
"[0, 1, 2, 8, 0, 2]",2.3967696702448147
"[0, 1, 2, 8, 0, 6]",2.3049592335823754
"[0, 1, 2, 8, 0, 8]",1.7431977113344541
"[0, 1, 2, 8, 2, 0]",2.771762398804274
"[0, 1, 2, 8, 2, 2]",2.839474298857122
"[0, 1, 2, 8, 2, 4]",3.020659469550023
"[0, 1, 2, 8, 2, 8]",2.8761459847212754
"[0, 1, 2, 9, 0, 1]",4.8823929687545435
"[0, 1, 2, 9, 0, 3]",4.768530701443126
"[0, 1, 2, 9, 0, 7]",5.166038830161639
"[0, 1, 2, 9, 0, 9]",5.312983674966526
"[0, 1, 2, 9, 2, 3]",5.147166852217748
"[0, 1, 2, 9, 2, 5]",5.272859314574112
"[0, 1, 2, 9, 2, 7]",5.370615585377366
"[0, 1, 2, 9, 2, 9]",5.165794773733234
"[0, 1, 3, 0, 1, 0]",0.01651864743690701
"[0, 1, 3, 0, 3, 0]",0.017755349796349885
"[0, 1, 3, 1, 1, 1]",0.025382806231464942
"[0, 1, 3, 1, 3, 1]",0.0239755544792371
"[0, 1, 3, 2, 1, 0]",0.03147811062586677
"[0, 1, 3, 2, 1, 2]",0.030019234867003114
"[0, 1, 3, 2, 3, 0]",0.03265420636595145
"[0, 1, 3, 2, 3, 2]",0.0333351345913679
"[0, 1, 3, 3, 1, 1]",0.1163848920395721
"[0, 1, 3, 3, 1, 3]",0.10611364134970937
"[0, 1, 3, 3, 3, 1]",0.11531277125616873
