"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['Ap4Phi', 54, -3.0, -1.5, -4.5]",416278779.59766257
"['Ap4Phi', 54, -3.0, -0.5, -3.5]",125188.66248188392
"['Ap4Phi', 54, -3.0, 0.5, -2.5]",7.67795310381947
"['Ap4Phi', 54, -3.0, 1.5, -1.5]",72.72082914928089
"['Ap4Phi', 54, 3.0, -1.5, 1.5]",79.11543906693026
"['Ap4Phi', 54, 3.0, -0.5, 2.5]",1.05552658656591
"['Ap4Phi', 54, 3.0, 0.5, 3.5]",346458.55530504684
"['Ap4Phi', 54, 3.0, 1.5, 4.5]",348639641.72218686
"['Ap4Phi', 55, -3.0, -1.5, -4.5]",360468337.3607253
"['Ap4Phi', 55, -3.0, -0.5, -3.5]",8780.268269919183
"['Ap4Phi', 55, -3.0, 0.5, -2.5]",27.51021055071776
"['Ap4Phi', 55, -3.0, 1.5, -1.5]",116.17085804268669
"['Ap4Phi', 55, 3.0, -1.5, 1.5]",116.03416849108685
"['Ap4Phi', 55, 3.0, -0.5, 2.5]",12.253859363933632
"['Ap4Phi', 55, 3.0, 0.5, 3.5]",358951.633540311
"['Ap4Phi', 55, 3.0, 1.5, 4.5]",360466619.583127
"['Ap4Phi', 56, -3.0, -1.5, -4.5]",1707152474.5628786
"['Ap4Phi', 56, -3.0, -0.5, -3.5]",735.4312609753432
"['Ap4Phi', 56, -3.0, 0.5, -2.5]",1376.5182661181718
"['Ap4Phi', 56, -3.0, 1.5, -1.5]",105.97621067068071
"['Ap4Phi', 56, 3.0, -1.5, 1.5]",108.25070721349749
"['Ap4Phi', 56, 3.0, -0.5, 2.5]",1279.8585487540038
"['Ap4Phi', 56, 3.0, 0.5, 3.5]",80585.60594107209
"['Ap4Phi', 56, 3.0, 1.5, 4.5]",1701164990.7376008
"['Ap4Phi', 57, -3.0, -1.5, -4.5]",96159315.8694303
"['Ap4Phi', 57, -3.0, -0.5, -3.5]",27.86635462453372
"['Ap4Phi', 57, -3.0, 0.5, -2.5]",8495.539841548216
"['Ap4Phi', 57, -3.0, 1.5, -1.5]",12.384547594342935
"['Ap4Phi', 57, 3.0, -1.5, 1.5]",14.727693285796217
"['Ap4Phi', 57, 3.0, -0.5, 2.5]",8404.375021267067
"['Ap4Phi', 57, 3.0, 0.5, 3.5]",267.18519972967914
"['Ap4Phi', 57, 3.0, 1.5, 4.5]",96159206.17971669
"['Ap4Phi', 58, -3.0, -1.5, -4.5]",43542371.25725775
"['Ap4Phi', 58, -3.0, -0.5, -3.5]",267.9754311950821
"['Ap4Phi', 58, -3.0, 0.5, -2.5]",13148.729337452058
"['Ap4Phi', 58, -3.0, 1.5, -1.5]",16.613837105400755
"['Ap4Phi', 58, 3.0, -1.5, 1.5]",16.00548976605638
"['Ap4Phi', 58, 3.0, -0.5, 2.5]",13203.84322329633
"['Ap4Phi', 58, 3.0, 0.5, 3.5]",153.45690760247052
"['Ap4Phi', 58, 3.0, 1.5, 4.5]",43542825.89243516
"['Ap4Phi', 59, -3.0, -1.5, -4.5]",329824061.2649566
"['Ap4Phi', 59, -3.0, -0.5, -3.5]",0.15929408965231565
"['Ap4Phi', 59, -3.0, 0.5, -2.5]",5911.200134434326
"['Ap4Phi', 59, -3.0, 1.5, -1.5]",3.121297666364924
"['Ap4Phi', 59, 3.0, -1.5, 1.5]",0.739131744303142
"['Ap4Phi', 59, 3.0, -0.5, 2.5]",6006.8834222618925
"['Ap4Phi', 59, 3.0, 0.5, 3.5]",0.9710239487272154
"['Ap4Phi', 59, 3.0, 1.5, 4.5]",329699573.0774063
"['B4Pi', 0, -1.0, -1.5, -2.5]",8.345305974194042e-07
"['B4Pi', 0, -1.0, -0.5, -1.5]",8.616956089053586e-07
"['B4Pi', 0, -1.0, 0.5, -0.5]",8.634258136808e-07
"['B4Pi', 0, -1.0, 1.5, 0.5]",8.884864001598098e-07
"['B4Pi', 0, 1.0, -1.5, -0.5]",8.864097933483858e-07
"['B4Pi', 0, 1.0, -0.5, 0.5]",8.588837807868127e-07
"['B4Pi', 0, 1.0, 0.5, 1.5]",8.612519278179135e-07
"['B4Pi', 0, 1.0, 1.5, 2.5]",8.345214228053151e-07
"['B4Pi', 1, -1.0, -1.5, -2.5]",8.136925939398552e-07
"['B4Pi', 1, -1.0, -0.5, -1.5]",8.280114832933687e-07
"['B4Pi', 1, -1.0, 0.5, -0.5]",1.3723761457618002e-06
"['B4Pi', 1, -1.0, 1.5, 0.5]",8.707314609177073e-07
"['B4Pi', 1, 1.0, -1.5, -0.5]",1.0204638682310547e-06
"['B4Pi', 1, 1.0, -0.5, 0.5]",8.395713996284666e-07
"['B4Pi', 1, 1.0, 0.5, 1.5]",8.2617967742476e-07
"['B4Pi', 1, 1.0, 1.5, 2.5]",8.136871955501144e-07
"['B4Pi', 2, -1.0, -1.5, -2.5]",7.946222634796058e-07
"['B4Pi', 2, -1.0, -0.5, -1.5]",8.314529671921868e-07
"['B4Pi', 2, -1.0, 0.5, -0.5]",8.331073287621249e-07
"['B4Pi', 2, -1.0, 1.5, 0.5]",8.317096831703032e-07
"['B4Pi', 2, 1.0, -1.5, -0.5]",8.430503242588679e-07
"['B4Pi', 2, 1.0, -0.5, 0.5]",8.18108265871915e-07
"['B4Pi', 2, 1.0, 0.5, 1.5]",8.483944259200965e-07
"['B4Pi', 2, 1.0, 1.5, 2.5]",7.945552461185989e-07
"['B4Pi', 3, -1.0, -1.5, -2.5]",7.784803548473036e-07
"['B4Pi', 3, -1.0, -0.5, -1.5]",7.898520299198446e-07
"['B4Pi', 3, -1.0, 0.5, -0.5]",8.033909244980852e-07
"['B4Pi', 3, -1.0, 1.5, 0.5]",8.102059177334392e-07
"['B4Pi', 3, 1.0, -1.5, -0.5]",8.140499279650647e-07
"['B4Pi', 3, 1.0, -0.5, 0.5]",9.991853921380791e-07
"['B4Pi', 3, 1.0, 0.5, 1.5]",7.89650878149878e-07
"['B4Pi', 3, 1.0, 1.5, 2.5]",7.773718712876063e-07
"['B4Pi', 4, -1.0, -1.5, -2.5]",7.619044875003755e-07
"['B4Pi', 4, -1.0, -0.5, -1.5]",7.732869151083002e-07
"['B4Pi', 4, -1.0, 0.5, -0.5]",7.858745167881723e-07
"['B4Pi', 4, -1.0, 1.5, 0.5]",7.926362089408133e-07
"['B4Pi', 4, 1.0, -1.5, -0.5]",7.942561060596546e-07
"['B4Pi', 4, 1.0, -0.5, 0.5]",7.829892217763647e-07
"['B4Pi', 4, 1.0, 0.5, 1.5]",7.967463303405535e-07
"['B4Pi', 4, 1.0, 1.5, 2.5]",7.618160057109181e-07
"['B4Pi', 5, -1.0, -1.5, -2.5]",1.2249172279020994e-06
"['B4Pi', 5, -1.0, -0.5, -1.5]",9.708095781666873e-07
"['B4Pi', 5, -1.0, 0.5, -0.5]",7.690461977883075e-07
"['B4Pi', 5, -1.0, 1.5, 0.5]",7.770744574738776e-07
"['B4Pi', 5, 1.0, -1.5, -0.5]",7.777676787103606e-07
"['B4Pi', 5, 1.0, -0.5, 0.5]",7.71745386472562e-07
"['B4Pi', 5, 1.0, 0.5, 1.5]",7.583687657321222e-07
"['B4Pi', 5, 1.0, 1.5, 2.5]",9.045881916478267e-07
"['B4Pi', 6, -1.0, -1.5, -2.5]",7.345656320131874e-07
"['B4Pi', 6, -1.0, -0.5, -1.5]",7.44907880706325e-07
"['B4Pi', 6, -1.0, 0.5, -0.5]",7.816201169206679e-07
"['B4Pi', 6, -1.0, 1.5, 0.5]",7.644014990182626e-07
"['B4Pi', 6, 1.0, -1.5, -0.5]",7.638377448819629e-07
"['B4Pi', 6, 1.0, -0.5, 0.5]",7.54425204205445e-07
"['B4Pi', 6, 1.0, 0.5, 1.5]",7.449294483140391e-07
"['B4Pi', 6, 1.0, 1.5, 2.5]",7.345683057584195e-07
"['B4Pi', 7, -1.0, -1.5, -2.5]",7.223589004236442e-07
"['B4Pi', 7, -1.0, -0.5, -1.5]",7.323271049980798e-07
"['B4Pi', 7, -1.0, 0.5, -0.5]",7.41491133178258e-07
"['B4Pi', 7, -1.0, 1.5, 0.5]",7.497011519770443e-07
"['B4Pi', 7, 1.0, -1.5, -0.5]",7.496438746578834e-07
"['B4Pi', 7, 1.0, -0.5, 0.5]",7.416134592187014e-07
"['B4Pi', 7, 1.0, 0.5, 1.5]",7.323930874937685e-07
"['B4Pi', 7, 1.0, 1.5, 2.5]",7.223571846445833e-07
"['B4Pi', 8, -1.0, -1.5, -2.5]",7.111269033135381e-07
"['B4Pi', 8, -1.0, -0.5, -1.5]",7.207822325888669e-07
"['B4Pi', 8, -1.0, 0.5, -0.5]",7.297546727421718e-07
"['B4Pi', 8, -1.0, 1.5, 0.5]",7.391741651554033e-07
"['B4Pi', 8, 1.0, -1.5, -0.5]",7.38019086005149e-07
"['B4Pi', 8, 1.0, -0.5, 0.5]",7.298159181770108e-07
"['B4Pi', 8, 1.0, 0.5, 1.5]",7.208305577461419e-07
"['B4Pi', 8, 1.0, 1.5, 2.5]",7.111320238617405e-07
"['B4Pi', 9, -1.0, -1.5, -2.5]",7.009754731477681e-07
"['B4Pi', 9, -1.0, -0.5, -1.5]",7.104318012570071e-07
"['B4Pi', 9, -1.0, 0.5, -0.5]",7.197712030364052e-07
"['B4Pi', 9, -1.0, 1.5, 0.5]",7.292765295817169e-07
"['B4Pi', 9, 1.0, -1.5, -0.5]",7.297409916306693e-07
"['B4Pi', 9, 1.0, -0.5, 0.5]",7.189346179722594e-07
"['B4Pi', 9, 1.0, 0.5, 1.5]",7.104476842104359e-07
"['B4Pi', 9, 1.0, 1.5, 2.5]",7.009773944823785e-07
"['B4Pi', 10, -1.0, -1.5, -2.5]",6.924125941123109e-07
"['B4Pi', 10, -1.0, -0.5, -1.5]",7.020733908927967e-07
"['B4Pi', 10, -1.0, 0.5, -0.5]",7.187628686571831e-07
"['B4Pi', 10, -1.0, 1.5, 0.5]",1.2300340803798153e-06
"['B4Pi', 10, 1.0, -1.5, -0.5]",7.874565465202644e-07
"['B4Pi', 10, 1.0, -0.5, 0.5]",7.090481236570314e-07
"['B4Pi', 10, 1.0, 0.5, 1.5]",7.019263814099188e-07
"['B4Pi', 10, 1.0, 1.5, 2.5]",6.924097804278133e-07
"['B4Pi', 11, -1.0, -1.5, -2.5]",8.360789601985975e-07
"['B4Pi', 11, -1.0, -0.5, -1.5]",6.943052128476839e-07
"['B4Pi', 11, -1.0, 0.5, -0.5]",7.556634193573338e-07
"['B4Pi', 11, -1.0, 1.5, 0.5]",7.123517157169271e-07
"['B4Pi', 11, 1.0, -1.5, -0.5]",7.304284671358092e-07
"['B4Pi', 11, 1.0, -0.5, 0.5]",1.0414311593679248e-06
"['B4Pi', 11, 1.0, 0.5, 1.5]",6.916098373390432e-07
"['B4Pi', 11, 1.0, 1.5, 2.5]",8.360942967694783e-07
"['B4Pi', 12, -1.0, -1.5, -2.5]",6.747290989067884e-07
"['B4Pi', 12, -1.0, -0.5, -1.5]",6.852321994386726e-07
"['B4Pi', 12, -1.0, 0.5, -0.5]",6.952150085701259e-07
"['B4Pi', 12, -1.0, 1.5, 0.5]",7.002412025514057e-07
"['B4Pi', 12, 1.0, -1.5, -0.5]",7.028999601777006e-07
"['B4Pi', 12, 1.0, -0.5, 0.5]",6.920179091350002e-07
"['B4Pi', 12, 1.0, 0.5, 1.5]",6.863757220397937e-07
"['B4Pi', 12, 1.0, 1.5, 2.5]",6.746174135186061e-07
"['B4Pi', 13, -1.0, -1.5, -2.5]",6.695734085639582e-07
"['B4Pi', 13, -1.0, -0.5, -1.5]",6.788799750902964e-07
"['B4Pi', 13, -1.0, 0.5, -0.5]",6.878051912709502e-07
"['B4Pi', 13, -1.0, 1.5, 0.5]",6.946243536703172e-07
"['B4Pi', 13, 1.0, -1.5, -0.5]",6.953638600085525e-07
"['B4Pi', 13, 1.0, -0.5, 0.5]",6.870651746334125e-07
"['B4Pi', 13, 1.0, 0.5, 1.5]",6.788319620621179e-07
"['B4Pi', 13, 1.0, 1.5, 2.5]",6.695835090250376e-07
"['B4Pi', 14, -1.0, -1.5, -2.5]",6.636020855119726e-07
"['B4Pi', 14, -1.0, -0.5, -1.5]",6.726062086861043e-07
"['B4Pi', 14, -1.0, 0.5, -0.5]",6.808410607593884e-07
"['B4Pi', 14, -1.0, 1.5, 0.5]",6.878789089607376e-07
"['B4Pi', 14, 1.0, -1.5, -0.5]",6.880534988038388e-07
"['B4Pi', 14, 1.0, -0.5, 0.5]",6.807259246663008e-07
"['B4Pi', 14, 1.0, 0.5, 1.5]",6.726209257762945e-07
"['B4Pi', 14, 1.0, 1.5, 2.5]",6.636052928440748e-07
"['B4Pi', 15, -1.0, -1.5, -2.5]",6.573381901409473e-07
"['B4Pi', 15, -1.0, -0.5, -1.5]",6.661428846139056e-07
"['B4Pi', 15, -1.0, 0.5, -0.5]",6.740766743802211e-07
"['B4Pi', 15, -1.0, 1.5, 0.5]",6.81074175668208e-07
"['B4Pi', 15, 1.0, -1.5, -0.5]",6.810251607799323e-07
"['B4Pi', 15, 1.0, -0.5, 0.5]",6.741761877012154e-07
"['B4Pi', 15, 1.0, 0.5, 1.5]",6.661829844538468e-07
"['B4Pi', 15, 1.0, 1.5, 2.5]",6.573452951098733e-07
"['B4Pi', 16, -1.0, -1.5, -2.5]",6.521704083704926e-07
"['B4Pi', 16, -1.0, -0.5, -1.5]",6.608002424434869e-07
"['B4Pi', 16, -1.0, 0.5, -0.5]",6.685517753458317e-07
"['B4Pi', 16, -1.0, 1.5, 0.5]",6.755102235822109e-07
"['B4Pi', 16, 1.0, -1.5, -0.5]",6.754044752416798e-07
"['B4Pi', 16, 1.0, -0.5, 0.5]",6.687051621947598e-07
"['B4Pi', 16, 1.0, 0.5, 1.5]",6.608411085868555e-07
"['B4Pi', 16, 1.0, 1.5, 2.5]",6.521687005852862e-07
"['B4Pi', 17, -1.0, -1.5, -2.5]",6.501978159879227e-07
"['B4Pi', 17, -1.0, -0.5, -1.5]",6.597412829390214e-07
"['B4Pi', 17, -1.0, 0.5, -0.5]",6.663562551128752e-07
"['B4Pi', 17, -1.0, 1.5, 0.5]",6.732051066962477e-07
"['B4Pi', 17, 1.0, -1.5, -0.5]",6.732010914767366e-07
"['B4Pi', 17, 1.0, -0.5, 0.5]",6.664176887452347e-07
"['B4Pi', 17, 1.0, 0.5, 1.5]",6.597707949166995e-07
"['B4Pi', 17, 1.0, 1.5, 2.5]",6.50195325632543e-07
"['B4Pi', 18, -1.0, -1.5, -2.5]",6.529241569907441e-07
"['B4Pi', 18, -1.0, -0.5, -1.5]",6.615779519565924e-07
"['B4Pi', 18, -1.0, 0.5, -0.5]",6.69313978564615e-07
"['B4Pi', 18, -1.0, 1.5, 0.5]",6.762579737945902e-07
"['B4Pi', 18, 1.0, -1.5, -0.5]",6.76616363137877e-07
"['B4Pi', 18, 1.0, -0.5, 0.5]",6.690253753003285e-07
"['B4Pi', 18, 1.0, 0.5, 1.5]",6.616711389020777e-07
"['B4Pi', 18, 1.0, 1.5, 2.5]",6.529272571147753e-07
"['B4Pi', 19, -1.0, -1.5, -2.5]",6.483755021377041e-07
"['B4Pi', 19, -1.0, -0.5, -1.5]",6.605237287328356e-07
"['B4Pi', 19, -1.0, 0.5, -0.5]",6.668997463397987e-07
"['B4Pi', 19, -1.0, 1.5, 0.5]",6.764454758062073e-07
"['B4Pi', 19, 1.0, -1.5, -0.5]",6.771318377583566e-07
"['B4Pi', 19, 1.0, -0.5, 0.5]",6.644385878215738e-07
"['B4Pi', 19, 1.0, 0.5, 1.5]",6.568171573095368e-07
"['B4Pi', 19, 1.0, 1.5, 2.5]",6.483765366093043e-07
"['B4Pi', 20, -1.0, -1.5, -2.5]",6.532012588386743e-07
"['B4Pi', 20, -1.0, -0.5, -1.5]",6.620867604557785e-07
"['B4Pi', 20, -1.0, 0.5, -0.5]",6.98710553246136e-07
"['B4Pi', 20, -1.0, 1.5, 0.5]",7.458659087311211e-07
"['B4Pi', 20, 1.0, -1.5, -0.5]",8.563793694282094e-07
"['B4Pi', 20, 1.0, -0.5, 0.5]",6.719201929553704e-07
"['B4Pi', 20, 1.0, 0.5, 1.5]",6.615734902844141e-07
"['B4Pi', 20, 1.0, 1.5, 2.5]",6.532050622208624e-07
"['B4Pi', 21, -1.0, -1.5, -2.5]",6.488361422859324e-07
"['B4Pi', 21, -1.0, -0.5, -1.5]",6.981665444130316e-07
"['B4Pi', 21, -1.0, 0.5, -0.5]",6.807041466461364e-07
"['B4Pi', 21, -1.0, 1.5, 0.5]",6.754217179973361e-07
"['B4Pi', 21, 1.0, -1.5, -0.5]",6.875697531734432e-07
"['B4Pi', 21, 1.0, -0.5, 0.5]",6.662876909580976e-07
"['B4Pi', 21, 1.0, 0.5, 1.5]",6.577214504175854e-07
"['B4Pi', 21, 1.0, 1.5, 2.5]",6.488378584842153e-07
"['B4Pi', 22, -1.0, -1.5, -2.5]",6.595365994057761e-07
"['B4Pi', 22, -1.0, -0.5, -1.5]",6.673067806474657e-07
"['B4Pi', 22, -1.0, 0.5, -0.5]",6.760579291355824e-07
"['B4Pi', 22, -1.0, 1.5, 0.5]",6.823766244127933e-07
"['B4Pi', 22, 1.0, -1.5, -0.5]",6.830549590175974e-07
"['B4Pi', 22, 1.0, -0.5, 0.5]",6.745380529711533e-07
"['B4Pi', 22, 1.0, 0.5, 1.5]",6.672673759496793e-07
"['B4Pi', 22, 1.0, 1.5, 2.5]",6.586082812077043e-07
"['B4Pi', 23, -1.0, -1.5, -2.5]",6.641412329182588e-07
"['B4Pi', 23, -1.0, -0.5, -1.5]",6.723725275837537e-07
"['B4Pi', 23, -1.0, 0.5, -0.5]",6.800925858573783e-07
"['B4Pi', 23, -1.0, 1.5, 0.5]",6.863635600354706e-07
"['B4Pi', 23, 1.0, -1.5, -0.5]",6.866989854750397e-07
"['B4Pi', 23, 1.0, -0.5, 0.5]",6.796971006736334e-07
"['B4Pi', 23, 1.0, 0.5, 1.5]",6.723475881782053e-07
"['B4Pi', 23, 1.0, 1.5, 2.5]",6.641417541437745e-07
"['B4Pi', 24, -1.0, -1.5, -2.5]",6.610556144910615e-07
"['B4Pi', 24, -1.0, -0.5, -1.5]",6.692484586923986e-07
"['B4Pi', 24, -1.0, 0.5, -0.5]",6.76663776407406e-07
"['B4Pi', 24, -1.0, 1.5, 0.5]",6.830241154669835e-07
"['B4Pi', 24, 1.0, -1.5, -0.5]",6.830765703743966e-07
"['B4Pi', 24, 1.0, -0.5, 0.5]",6.766205103755692e-07
"['B4Pi', 24, 1.0, 0.5, 1.5]",6.692570357704587e-07
"['B4Pi', 24, 1.0, 1.5, 2.5]",6.610522182778973e-07
"['B4Pi', 25, -1.0, -1.5, -2.5]",6.762835507344375e-07
"['B4Pi', 25, -1.0, -0.5, -1.5]",6.87527591962331e-07
"['B4Pi', 25, -1.0, 0.5, -0.5]",6.927185045708558e-07
"['B4Pi', 25, -1.0, 1.5, 0.5]",6.994194406109137e-07
"['B4Pi', 25, 1.0, -1.5, -0.5]",6.993771788904499e-07
"['B4Pi', 25, 1.0, -0.5, 0.5]",6.927846745184871e-07
"['B4Pi', 25, 1.0, 0.5, 1.5]",6.875325949937132e-07
"['B4Pi', 25, 1.0, 1.5, 2.5]",6.762879374286356e-07
"['B4Pi', 26, -1.0, -1.5, -2.5]",7.072303847235651e-07
"['B4Pi', 26, -1.0, -0.5, -1.5]",7.158496950244372e-07
"['B4Pi', 26, -1.0, 0.5, -0.5]",7.238868521264606e-07
"['B4Pi', 26, -1.0, 1.5, 0.5]",7.307984093150797e-07
"['B4Pi', 26, 1.0, -1.5, -0.5]",7.307934548581024e-07
"['B4Pi', 26, 1.0, -0.5, 0.5]",7.239219211735403e-07
"['B4Pi', 26, 1.0, 0.5, 1.5]",7.158691096302877e-07
"['B4Pi', 26, 1.0, 1.5, 2.5]",7.072333524859599e-07
"['B4Pi', 27, -1.0, -1.5, -2.5]",7.253019828221024e-07
"['B4Pi', 27, -1.0, -0.5, -1.5]",7.33891644496067e-07
"['B4Pi', 27, -1.0, 0.5, -0.5]",7.419569540209711e-07
"['B4Pi', 27, -1.0, 1.5, 0.5]",7.484018912750021e-07
"['B4Pi', 27, 1.0, -1.5, -0.5]",7.488381237928574e-07
"['B4Pi', 27, 1.0, -0.5, 0.5]",7.416699955687291e-07
"['B4Pi', 27, 1.0, 0.5, 1.5]",7.339089695574135e-07
"['B4Pi', 27, 1.0, 1.5, 2.5]",7.253000739468356e-07
"['B4Pi', 28, -1.0, -1.5, -2.5]",7.246505359374229e-07
"['B4Pi', 28, -1.0, -0.5, -1.5]",7.331965405722293e-07
"['B4Pi', 28, -1.0, 0.5, -0.5]",7.413105195992401e-07
"['B4Pi', 28, -1.0, 1.5, 0.5]",2.839379322791063e-07
"['B4Pi', 28, 1.0, -1.5, -0.5]",7.4898678453456e-07
"['B4Pi', 28, 1.0, -0.5, 0.5]",7.408163831346396e-07
"['B4Pi', 28, 1.0, 0.5, 1.5]",7.331868850347453e-07
"['B4Pi', 28, 1.0, 1.5, 2.5]",7.246540237345755e-07
"['B4Pi', 29, -1.0, -1.5, -2.5]",7.2911814948416e-07
"['B4Pi', 29, -1.0, -0.5, -1.5]",7.382383081325808e-07
"['B4Pi', 29, -1.0, 0.5, -0.5]",7.488433740210989e-07
"['B4Pi', 29, -1.0, 1.5, 0.5]",7.316554175065004e-07
"['B4Pi', 29, 1.0, -1.5, -0.5]",6.024374912027526e-07
"['B4Pi', 29, 1.0, -0.5, 0.5]",7.463225217913327e-07
"['B4Pi', 29, 1.0, 0.5, 1.5]",7.382513976716827e-07
"['B4Pi', 29, 1.0, 1.5, 2.5]",7.291182592006283e-07
"['B4Pi', 30, -1.0, -1.5, -2.5]",7.650571088747782e-07
"['B4Pi', 30, -1.0, -0.5, -1.5]",7.760630386148657e-07
"['B4Pi', 30, -1.0, 0.5, -0.5]",5.983135221048732e-07
"['B4Pi', 30, -1.0, 1.5, 0.5]",7.577716697755911e-07
"['B4Pi', 30, 1.0, -1.5, -0.5]",7.936967140131842e-07
"['B4Pi', 30, 1.0, -0.5, 0.5]",7.870751793126355e-07
"['B4Pi', 30, 1.0, 0.5, 1.5]",7.757889898608856e-07
"['B4Pi', 30, 1.0, 1.5, 2.5]",7.650344273403656e-07
"['B4Pi', 31, -1.0, -1.5, -2.5]",8.516284868263094e-07
"['B4Pi', 31, -1.0, -0.5, -1.5]",9.664595744248667e-07
"['B4Pi', 31, -1.0, 0.5, -0.5]",3.645628028683356e-07
"['B4Pi', 31, -1.0, 1.5, 0.5]",8.876848134896903e-07
"['B4Pi', 31, 1.0, -1.5, -0.5]",1.0955043077531755e-06
"['B4Pi', 31, 1.0, -0.5, 0.5]",8.774741917430654e-07
"['B4Pi', 31, 1.0, 0.5, 1.5]",8.659802029595748e-07
"['B4Pi', 31, 1.0, 1.5, 2.5]",8.517337203719423e-07
"['B4Pi', 32, -1.0, -1.5, -2.5]",1.008485863652399e-06
"['B4Pi', 32, -1.0, -0.5, -1.5]",1.0272034106590253e-06
"['B4Pi', 32, -1.0, 0.5, -0.5]",1.0400815364495688e-06
"['B4Pi', 32, -1.0, 1.5, 0.5]",1.4117247673215345e-06
"['B4Pi', 32, 1.0, -1.5, -0.5]",1.055097847540553e-06
"['B4Pi', 32, 1.0, -0.5, 0.5]",1.041495560914195e-06
"['B4Pi', 32, 1.0, 0.5, 1.5]",1.0270752740169222e-06
"['B4Pi', 32, 1.0, 1.5, 2.5]",1.0081424954531453e-06
"['B4Pi', 33, -1.0, -1.5, -2.5]",1.2622731856144667e-06
"['B4Pi', 33, -1.0, -0.5, -1.5]",1.2872195185512594e-06
"['B4Pi', 33, -1.0, 0.5, -0.5]",1.2901832664333245e-06
"['B4Pi', 33, -1.0, 1.5, 0.5]",1.3275732137546987e-06
"['B4Pi', 33, 1.0, -1.5, -0.5]",1.3261307577324306e-06
"['B4Pi', 33, 1.0, -0.5, 0.5]",1.3091396512441317e-06
"['B4Pi', 33, 1.0, 0.5, 1.5]",1.2878190833074965e-06
"['B4Pi', 33, 1.0, 1.5, 2.5]",1.2622904467279937e-06
"['B4Pi', 34, -1.0, -1.5, -2.5]",1.6594186425112615e-06
"['B4Pi', 34, -1.0, -0.5, -1.5]",1.6777405568859147e-06
"['B4Pi', 34, -1.0, 0.5, -0.5]",1.7324201792699377e-06
"['B4Pi', 34, -1.0, 1.5, 0.5]",1.7500007082443675e-06
"['B4Pi', 34, 1.0, -1.5, -0.5]",1.7497496743154094e-06
"['B4Pi', 34, 1.0, -0.5, 0.5]",1.7972870792667812e-06
"['B4Pi', 34, 1.0, 0.5, 1.5]",1.6976465164388772e-06
"['B4Pi', 34, 1.0, 1.5, 2.5]",1.6594231119437284e-06
"['B4Pi', 35, -1.0, -1.5, -2.5]",2.27223335934101e-06
"['B4Pi', 35, -1.0, -0.5, -1.5]",2.327101578831437e-06
"['B4Pi', 35, -1.0, 0.5, -0.5]",3.4771452571573905e-06
"['B4Pi', 35, -1.0, 1.5, 0.5]",2.405631293953741e-06
"['B4Pi', 35, 1.0, -1.5, -0.5]",2.40611021427713e-06
"['B4Pi', 35, 1.0, -0.5, 0.5]",2.3717102717103178e-06
"['B4Pi', 35, 1.0, 0.5, 1.5]",2.3283865997747165e-06
"['B4Pi', 35, 1.0, 1.5, 2.5]",2.2722981363929698e-06
"['B4Pi', 36, -1.0, -1.5, -2.5]",3.2166095721316732e-06
"['B4Pi', 36, -1.0, -0.5, -1.5]",3.2965913638415578e-06
"['B4Pi', 36, -1.0, 0.5, -0.5]",3.381198954092871e-06
"['B4Pi', 36, -1.0, 1.5, 0.5]",3.420429968601388e-06
"['B4Pi', 36, 1.0, -1.5, -0.5]",3.6145917963487078e-06
"['B4Pi', 36, 1.0, -0.5, 0.5]",3.3678652903979916e-06
"['B4Pi', 36, 1.0, 0.5, 1.5]",3.2995191476683925e-06
"['B4Pi', 36, 1.0, 1.5, 2.5]",3.2173989943171023e-06
"['B4Pi', 37, -1.0, -1.5, -2.5]",4.639313820427253e-06
"['B4Pi', 37, -1.0, -0.5, -1.5]",4.811337222369058e-06
"['B4Pi', 37, -1.0, 0.5, -0.5]",4.922412429142865e-06
"['B4Pi', 37, -1.0, 1.5, 0.5]",5.000667240600799e-06
"['B4Pi', 37, 1.0, -1.5, -0.5]",4.9996143809576415e-06
"['B4Pi', 37, 1.0, -0.5, 0.5]",4.913575156248908e-06
"['B4Pi', 37, 1.0, 0.5, 1.5]",4.810182357271313e-06
"['B4Pi', 37, 1.0, 1.5, 2.5]",4.675621199842735e-06
"['B4Pi', 38, -1.0, -1.5, -2.5]",6.944155072624565e-06
"['B4Pi', 38, -1.0, -0.5, -1.5]",7.170467034223148e-06
"['B4Pi', 38, -1.0, 0.5, -0.5]",7.345610920332465e-06
"['B4Pi', 38, -1.0, 1.5, 0.5]",7.806671511774591e-06
"['B4Pi', 38, 1.0, -1.5, -0.5]",7.590908366359948e-06
"['B4Pi', 38, 1.0, -0.5, 0.5]",7.325639620040187e-06
"['B4Pi', 38, 1.0, 0.5, 1.5]",7.169556128470504e-06
"['B4Pi', 38, 1.0, 1.5, 2.5]",6.915410290634079e-06
"['B4Pi', 39, -1.0, -1.5, -2.5]",1.049696170910203e-05
"['B4Pi', 39, -1.0, -0.5, -1.5]",1.0923533116727908e-05
"['B4Pi', 39, -1.0, 0.5, -0.5]",1.1298687161038594e-05
"['B4Pi', 39, -1.0, 1.5, 0.5]",1.1509593939672907e-05
"['B4Pi', 39, 1.0, -1.5, -0.5]",1.4996631175230349e-05
"['B4Pi', 39, 1.0, -0.5, 0.5]",1.1112329225950692e-05
"['B4Pi', 39, 1.0, 0.5, 1.5]",1.0856589852943113e-05
