v_state,lifetime_i
"[0, 0, 0, 0]",inf
"[0, 0, 0, 2]",0.029073463161991824
"[0, 0, 0, 4]",0.01534048548196523
"[0, 0, 0, 6]",0.010801202243965531
"[0, 0, 0, 8]",0.008568170306255686
"[0, 0, 0, 10]",0.007294494862703117
"[0, 0, 0, 12]",0.13119809845160882
"[0, 0, 0, 14]",12.655825334184911
"[0, 1, 1, 0]",1.2147716229348882
"[0, 1, 1, 1]",0.05506034060744962
"[0, 1, 1, 2]",0.028928537774665166
"[0, 1, 1, 3]",0.019961811394561296
"[0, 1, 1, 4]",0.015444248296937177
"[0, 1, 1, 5]",0.012726493981391453
"[0, 1, 1, 6]",0.010919327615460364
"[0, 1, 1, 7]",0.009633750023931617
"[0, 1, 1, 8]",0.008678201043939474
"[0, 1, 1, 9]",0.009526013308547592
"[0, 1, 1, 10]",0.007372803835956204
"[0, 1, 1, 11]",0.007927076949818274
"[0, 1, 1, 12]",0.05727667111335327
"[0, 1, 1, 13]",1.235836767402381
"[0, 1, 1, 14]",9.647343531578752
"[0, 2, 0, 0]",0.6151423439383874
"[0, 2, 0, 2]",0.028791902602318818
"[0, 2, 0, 4]",0.015548644531303623
"[0, 2, 0, 6]",0.011038506507420444
"[0, 2, 0, 8]",0.008791392812862033
"[0, 2, 0, 10]",0.007470691901578345
"[0, 2, 0, 12]",0.658598926754405
"[0, 2, 0, 14]",161.99883595663513
"[0, 2, 2, 0]",0.6117049746907066
"[0, 2, 2, 1]",0.05360176106832738
"[0, 2, 2, 2]",0.028785811887411007
"[0, 2, 2, 3]",0.020013659307323385
"[0, 2, 2, 4]",0.015548039574601127
"[0, 2, 2, 5]",0.012842658377316244
"[0, 2, 2, 6]",0.011038394914810557
"[0, 2, 2, 7]",0.009750625270530458
"[0, 2, 2, 8]",0.008791504521309801
"[0, 2, 2, 9]",0.00964076101961937
"[0, 2, 2, 10]",0.007470890646929521
"[0, 2, 2, 11]",0.008000041349273743
"[0, 2, 2, 12]",0.6619738484224824
"[0, 2, 2, 13]",1.8082508546924971
"[0, 2, 2, 14]",163.20516826876943
"[0, 3, 1, 0]",0.41566210488313776
"[0, 3, 1, 1]",0.052369618944478356
"[0, 3, 1, 2]",0.02866555167443728
"[0, 3, 1, 3]",0.020079181436620987
"[0, 3, 1, 4]",0.01565595997520083
"[0, 3, 1, 5]",0.012963577711153772
"[0, 3, 1, 6]",0.01115977681838681
"[0, 3, 1, 7]",0.009870346499520502
"[0, 3, 1, 8]",0.008907422447825955
"[0, 3, 1, 9]",0.009746104604100346
"[0, 3, 1, 10]",0.007576600357058986
"[0, 3, 1, 11]",0.008199088330380461
"[0, 3, 1, 12]",0.9084583993975095
"[0, 3, 1, 13]",1.337578209403395
"[0, 3, 1, 14]",204.89390767607074
"[0, 3, 3, 0]",0.40810564028999224
"[0, 3, 3, 1]",0.05222415103672124
"[0, 3, 3, 2]",0.028636623328708304
"[0, 3, 3, 3]",0.02006286483756289
"[0, 3, 3, 4]",0.01565049672998657
"[0, 3, 3, 5]",0.012958954200327468
"[0, 3, 3, 6]",0.011157643193063876
"[0, 3, 3, 7]",0.00986886633378445
"[0, 3, 3, 8]",0.008906766968356348
"[0, 3, 3, 9]",0.009717431703191098
"[0, 3, 3, 10]",0.007576616656701423
"[0, 3, 3, 11]",0.008200870293580582
"[0, 3, 3, 12]",0.9090428815255697
"[0, 3, 3, 13]",1.3321739962897112
"[0, 3, 3, 14]",204.006410840942
"[0, 4, 0, 0]",0.3163981978388953
"[0, 4, 0, 2]",0.028551648585186523
"[0, 4, 0, 4]",0.015766858595826626
"[0, 4, 0, 6]",0.011281982518213989
"[0, 4, 0, 8]",0.009024814881111736
"[0, 4, 0, 10]",0.007686197341112964
"[0, 4, 0, 12]",0.9179763152875291
"[0, 4, 0, 14]",128.00710914605395
"[0, 4, 2, 0]",0.3163293373443796
"[0, 4, 2, 1]",0.0511293680013762
"[0, 4, 2, 2]",0.02855043637073846
"[0, 4, 2, 3]",0.02013495292788996
"[0, 4, 2, 4]",0.016747799069242394
"[0, 4, 2, 5]",0.01329243597497699
"[0, 4, 2, 6]",0.011282456957177247
"[0, 4, 2, 7]",0.00999073280942656
"[0, 4, 2, 8]",0.00902538086723639
"[0, 4, 2, 9]",0.009837034680974287
"[0, 4, 2, 10]",0.007686713929459141
"[0, 4, 2, 11]",0.008344698378900834
"[0, 4, 2, 12]",0.8494432042948183
"[0, 4, 2, 13]",127.77939280768777
"[0, 4, 2, 14]",128.29927991775506
"[0, 4, 4, 0]",0.3056084458102644
"[0, 4, 4, 1]",0.05090815577731682
"[0, 4, 4, 2]",0.02847834947224681
"[0, 4, 4, 3]",0.020108288199769567
"[0, 4, 4, 4]",0.015746796669072118
"[0, 4, 4, 5]",0.0130766374300293
"[0, 4, 4, 6]",0.011276527481187867
"[0, 4, 4, 7]",0.009987953113068344
"[0, 4, 4, 8]",0.009023272363021285
"[0, 4, 4, 9]",0.009847903580911244
"[0, 4, 4, 10]",0.007686243421426977
"[0, 4, 4, 11]",0.00835140115563205
"[0, 4, 4, 12]",0.924633328959151
"[0, 4, 4, 13]",138.63364310163726
"[0, 4, 4, 14]",128.52288752989506
"[0, 5, 1, 0]",0.2557615244871654
"[0, 5, 1, 1]",0.050081415736292274
"[0, 5, 1, 2]",0.02843561019195545
"[0, 5, 1, 3]",0.020204677946304376
"[0, 5, 1, 4]",0.015911199070077573
"[0, 5, 1, 5]",0.013205727794089068
"[0, 5, 1, 6]",0.011419924982449035
"[0, 5, 1, 7]",0.01011338265568173
"[0, 5, 1, 8]",0.009144262439778299
"[0, 5, 1, 9]",0.009932521839238687
"[0, 5, 1, 10]",0.007966393573890802
"[0, 5, 1, 11]",0.008488911199453676
"[0, 5, 1, 12]",1.1291778797214083
"[0, 5, 1, 13]",194.8717403302908
"[0, 5, 1, 14]",2924.8366939295206
"[0, 5, 3, 0]",0.25525648698381903
"[0, 5, 3, 1]",0.04996316488752709
"[0, 5, 3, 2]",0.028429703575146098
"[0, 5, 3, 3]",0.020189535308733818
"[0, 5, 3, 4]",0.015869498222915723
